Model,Perioadă,RMSE,MAE
Dummy Mean,2019,10.302037218767007,8.559285676515302
Dummy Mean,2020,10.513248996030573,8.754139335051889
Dummy Mean,2021,10.695465323042251,9.242888822790668
Dummy Mean,2022–2023,11.312516007722735,10.112654268292683
Extra Trees,2019,2.4923020191942133,1.9966025270638443
Extra Trees,2020,3.8906733597446594,2.8888266111506495
Extra Trees,2021,4.486502022418577,3.3040969169033656
Extra Trees,2022–2023,5.53701090648083,4.350830587234529
Gradient Boosting,2019,3.1860469120642576,2.2267358678489337
Gradient Boosting,2020,4.35449247903744,3.2031538191813747
Gradient Boosting,2021,4.43463170558259,3.3120104469605405
Gradient Boosting,2022–2023,5.5215317647513835,4.268519832924908
LASSO,2019,6.177612869282205,4.88513592388646
LASSO,2020,7.301926985739596,5.748186913562364
LASSO,2021,6.678603311539111,5.13863827898588
LASSO,2022–2023,6.44282992264489,5.074719033231279
Linear Regression,2019,6.379000240201705,5.188227310225797
Linear Regression,2020,7.709929481335932,6.247726033634925
Linear Regression,2021,6.949910810399343,5.401757375978197
Linear Regression,2022–2023,6.7642144742810135,5.255344711012353
Random Forest,2019,3.6091558587420827,2.312286290867991
Random Forest,2020,4.866856548281021,3.3114020650309732
Random Forest,2021,5.2408727585414026,3.583377124621973
Random Forest,2022–2023,6.168139962544692,4.7241126390693715
Ridge,2019,6.3181548389155004,5.086907682134422
Ridge,2020,7.562695732315318,6.0780926186644075
Ridge,2021,6.882800176385234,5.309598139417759
Ridge,2022–2023,6.709706813485577,5.192634843147053
SVR,2019,2.235873047066962,1.4503577585227871
SVR,2020,4.389640495637573,3.500853007263062
SVR,2021,4.730432181341903,3.5026047014606583
SVR,2022–2023,5.675521673693154,3.9293426527817594
XGBoost,2019,2.3585222871443396,1.6207740247772953
XGBoost,2020,3.920661507696087,2.622555737751288
XGBoost,2021,3.9621178985185357,2.6984997945645968
XGBoost,2022–2023,5.083128738283132,3.6762917324066167
